nature,artificial
living,inanimate
animal,object food
pros,cons
responsibility,familiar
food,object
food,object animal
consonant,vowel
animal,object
alive,give life
order,disorder
inanimate,flora fauna
living,non-living
life,distance
animal,thing
thing,animal
life,utility
living,inanimate
object,living
artificial,nature
nature,inanimate
vegetable animal,object
living,object
object,nature
living,inanimate
living,inanimate
living,non-living
object,flora fauna
nature,object
personal use,public use
living,non-living
inanimate,living
object,living
nature,artificial
living,inanimate
wine,non-wine
kitchen,home
living,inanimate
lunch,animal
living,object
